Occasions,Intervals,Sittings,Positions,Judges,Squares,Rows,Columns,Halfplots,Trellis,Method,Score
1,3,3,1,1,1,2,4,2,1,2,16.5
1,3,3,2,1,1,2,4,2,1,2,16
1,3,3,3,1,1,2,4,1,1,1,15.5
1,3,3,4,1,1,2,4,1,1,1,15
1,3,4,1,1,1,2,3,1,3,1,15.5
1,3,4,2,1,1,2,3,2,3,2,15
1,3,4,3,1,1,2,3,1,3,1,15.5
1,3,4,4,1,1,2,3,2,3,2,16.5
1,1,1,1,2,1,2,1,2,4,2,15.5
1,1,1,2,2,1,2,1,1,4,1,16
1,1,1,3,2,1,2,1,2,4,2,16.5
1,1,1,4,2,1,2,1,1,4,1,16.5
1,1,2,1,2,1,2,3,1,3,1,16
1,1,2,2,2,1,2,3,1,3,1,16
1,1,2,3,2,1,2,3,2,3,2,16.5
1,1,2,4,2,1,2,3,2,3,2,15
1,1,3,1,2,1,2,4,1,1,1,16.5
1,1,3,2,2,1,2,4,2,1,2,15
1,1,3,3,2,1,2,4,2,1,2,15
1,1,3,4,2,1,2,4,1,1,1,15.5
1,1,4,1,2,1,2,2,1,2,1,15.5
1,1,4,2,2,1,2,2,1,2,1,17
1,1,4,3,2,1,2,2,2,2,2,16.5
1,1,4,4,2,1,2,2,2,2,2,16
1,2,1,1,2,1,3,2,1,1,1,16
1,2,1,2,2,1,3,2,1,1,1,14
1,2,1,3,2,1,3,2,2,1,2,15.5
1,2,1,4,2,1,3,2,2,1,2,16
1,2,2,1,2,1,3,1,2,3,2,16
1,2,2,2,2,1,3,1,1,3,1,15.5
1,2,2,3,2,1,3,1,2,3,2,16
1,2,2,4,2,1,3,1,1,3,1,16.5
1,2,3,1,2,1,3,3,1,2,1,16
1,2,3,2,2,1,3,3,2,2,2,15.5
1,2,3,3,2,1,3,3,2,2,2,14
1,2,3,4,2,1,3,3,1,2,1,15
1,2,4,1,2,1,3,4,2,4,2,15.5
1,2,4,2,2,1,3,4,1,4,1,15.5
1,2,4,3,2,1,3,4,2,4,2,15.5
1,2,4,4,2,1,3,4,1,4,1,16
1,3,1,1,2,1,1,2,1,4,1,16.5
1,3,1,2,2,1,1,2,2,4,2,15.5
1,3,1,3,2,1,1,2,1,4,1,16
1,3,1,4,2,1,1,2,2,4,2,16
1,3,2,1,2,1,1,1,1,2,1,16
1,3,2,2,2,1,1,1,1,2,1,15
1,3,2,3,2,1,1,1,2,2,2,16
1,3,2,4,2,1,1,1,2,2,2,15.5
1,3,3,1,2,1,1,3,1,1,1,16
1,3,3,2,2,1,1,3,2,1,2,17
1,3,3,3,2,1,1,3,2,1,2,16.5
1,3,3,4,2,1,1,3,1,1,1,15.5
1,3,4,1,2,1,1,4,1,3,1,16.5
1,3,4,2,2,1,1,4,1,3,1,17
1,3,4,3,2,1,1,4,2,3,2,16.5
1,3,4,4,2,1,1,4,2,3,2,16
1,1,1,1,3,1,1,1,2,2,2,14.5
1,1,1,2,3,1,1,1,1,2,1,15
1,1,1,3,3,1,1,1,1,2,1,16.5
1,1,1,4,3,1,1,1,2,2,2,16.5
1,1,2,1,3,1,1,3,2,1,2,15
1,1,2,2,3,1,1,3,2,1,2,14.5
1,1,2,3,3,1,1,3,1,1,1,15
1,1,2,4,3,1,1,3,1,1,1,16.5
1,1,3,1,3,1,1,4,2,3,2,16
1,1,3,2,3,1,1,4,2,3,2,15.5
1,1,3,3,3,1,1,4,1,3,1,15
1,1,3,4,3,1,1,4,1,3,1,15.5
1,1,4,1,3,1,1,2,2,4,2,16
1,1,4,2,3,1,1,2,1,4,1,16
1,1,4,3,3,1,1,2,2,4,2,15
1,1,4,4,3,1,1,2,1,4,1,14
1,2,1,1,3,1,2,2,1,2,1,16.5
1,2,1,2,3,1,2,2,2,2,2,14.5
1,2,1,3,3,1,2,2,1,2,1,16
1,2,1,4,3,1,2,2,2,2,2,15.5
1,2,2,1,3,1,2,1,2,4,2,15.5
1,2,2,2,3,1,2,1,2,4,2,15.5
1,2,2,3,3,1,2,1,1,4,1,16
1,2,2,4,3,1,2,1,1,4,1,15.5
1,2,3,1,3,1,2,3,2,3,2,16
1,2,3,2,3,1,2,3,1,3,1,16.5
1,2,3,3,3,1,2,3,2,3,2,17
1,2,3,4,3,1,2,3,1,3,1,17
1,2,4,1,3,1,2,4,2,1,2,16.5
1,2,4,2,3,1,2,4,1,1,1,15
1,2,4,3,3,1,2,4,2,1,2,17
1,2,4,4,3,1,2,4,1,1,1,17.5
1,3,1,1,3,1,3,2,2,1,2,15.5
1,3,1,2,3,1,3,2,2,1,2,16.5
1,3,1,3,3,1,3,2,1,1,1,15
1,3,1,4,3,1,3,2,1,1,1,15
1,3,2,1,3,1,3,1,2,3,2,16
1,3,2,2,3,1,3,1,1,3,1,15.5
1,3,2,3,3,1,3,1,2,3,2,14.5
1,3,2,4,3,1,3,1,1,3,1,16
1,3,3,1,3,1,3,3,2,2,2,14.5
1,3,3,2,3,1,3,3,1,2,1,15.5
1,3,3,3,3,1,3,3,1,2,1,16
1,3,3,4,3,1,3,3,2,2,2,15.5
1,3,4,1,3,1,3,4,2,4,2,15.5
1,3,4,2,3,1,3,4,1,4,1,15.5
1,3,4,3,3,1,3,4,2,4,2,15.5
1,3,4,4,3,1,3,4,1,4,1,16
1,1,1,1,4,1,3,1,2,3,2,14.5
1,1,1,2,4,1,3,1,2,3,2,14
1,1,1,3,4,1,3,1,1,3,1,14
1,1,1,4,4,1,3,1,1,3,1,15
1,1,2,1,4,1,3,3,1,2,1,14.5
1,1,2,2,4,1,3,3,1,2,1,12.5
1,1,2,3,4,1,3,3,2,2,2,12.5
1,1,2,4,4,1,3,3,2,2,2,14.5
1,1,3,1,4,1,3,4,2,4,2,13
1,1,3,2,4,1,3,4,1,4,1,13.5
1,1,3,3,4,1,3,4,1,4,1,13
1,1,3,4,4,1,3,4,2,4,2,13.5
1,1,4,1,4,1,3,2,2,1,2,14
1,1,4,2,4,1,3,2,2,1,2,14
1,1,4,3,4,1,3,2,1,1,1,13.5
1,1,4,4,4,1,3,2,1,1,1,13
1,2,1,1,4,1,1,2,1,4,1,14.5
1,2,1,2,4,1,1,2,2,4,2,14.5
1,2,1,3,4,1,1,2,1,4,1,15
1,2,1,4,4,1,1,2,2,4,2,15.5
1,2,2,1,4,1,1,1,1,2,1,15
1,2,2,2,4,1,1,1,2,2,2,14
1,2,2,3,4,1,1,1,2,2,2,15
1,2,2,4,4,1,1,1,1,2,1,14.5
1,2,3,1,4,1,1,3,2,1,2,14
1,2,3,2,4,1,1,3,1,1,1,15
1,2,3,3,4,1,1,3,2,1,2,14.5
1,2,3,4,4,1,1,3,1,1,1,14.5
1,2,4,1,4,1,1,4,1,3,1,14.5
1,2,4,2,4,1,1,4,2,3,2,15.5
1,2,4,3,4,1,1,4,2,3,2,15
1,2,4,4,4,1,1,4,1,3,1,15
1,3,1,1,4,1,2,2,2,2,2,15
1,3,1,2,4,1,2,2,1,2,1,15
1,3,1,3,4,1,2,2,1,2,1,14.5
1,3,1,4,4,1,2,2,2,2,2,14.5
1,3,2,1,4,1,2,1,1,4,1,15.5
1,3,2,2,4,1,2,1,1,4,1,14.5
1,3,2,3,4,1,2,1,2,4,2,15
1,3,2,4,4,1,2,1,2,4,2,14.5
1,3,3,1,4,1,2,3,1,3,1,15.5
1,3,3,2,4,1,2,3,2,3,2,15
1,3,3,3,4,1,2,3,1,3,1,15.5
1,3,3,4,4,1,2,3,2,3,2,16
1,3,4,1,4,1,2,4,2,1,2,15.5
1,3,4,2,4,1,2,4,1,1,1,16.5
1,3,4,3,4,1,2,4,2,1,2,15
1,3,4,4,4,1,2,4,1,1,1,15.5
1,1,1,1,5,1,2,3,1,3,1,15.5
1,1,1,2,5,1,2,3,2,3,2,16
1,1,1,3,5,1,2,3,1,3,1,15.5
1,1,1,4,5,1,2,3,2,3,2,16
1,1,2,1,5,1,2,1,2,4,2,16
1,1,2,2,5,1,2,1,1,4,1,15.5
1,1,2,3,5,1,2,1,1,4,1,15.5
1,1,2,4,5,1,2,1,2,4,2,15.5
1,1,3,1,5,1,2,2,2,2,2,14.5
1,1,3,2,5,1,2,2,1,2,1,16
1,1,3,3,5,1,2,2,2,2,2,15.5
1,1,3,4,5,1,2,2,1,2,1,14.5
1,1,4,1,5,1,2,4,2,1,2,15.5
1,1,4,2,5,1,2,4,1,1,1,14
1,1,4,3,5,1,2,4,2,1,2,16
1,1,4,4,5,1,2,4,1,1,1,16.5
1,2,1,1,5,1,3,3,2,2,2,13.5
1,2,1,2,5,1,3,3,1,2,1,13.5
1,2,1,3,5,1,3,3,1,2,1,14.5
1,2,1,4,5,1,3,3,2,2,2,15
1,2,2,1,5,1,3,4,1,4,1,14.5
1,2,2,2,5,1,3,4,2,4,2,14
1,2,2,3,5,1,3,4,2,4,2,14
1,2,2,4,5,1,3,4,1,4,1,14.5
1,2,3,1,5,1,3,2,2,1,2,14.5
1,2,3,2,5,1,3,2,1,1,1,14.5
1,2,3,3,5,1,3,2,1,1,1,13.5
1,2,3,4,5,1,3,2,2,1,2,15.5
1,2,4,1,5,1,3,1,2,3,2,15
1,2,4,2,5,1,3,1,2,3,2,15
1,2,4,3,5,1,3,1,1,3,1,15
1,2,4,4,5,1,3,1,1,3,1,13.5
1,3,1,1,5,1,1,1,1,2,1,14
1,3,1,2,5,1,1,1,1,2,1,14
1,3,1,3,5,1,1,1,2,2,2,14.5
1,3,1,4,5,1,1,1,2,2,2,14
1,3,2,1,5,1,1,2,2,4,2,15.5
1,3,2,2,5,1,1,2,2,4,2,14.5
1,3,2,3,5,1,1,2,1,4,1,14.5
1,3,2,4,5,1,1,2,1,4,1,16
1,3,3,1,5,1,1,4,2,3,2,15
1,3,3,2,5,1,1,4,1,3,1,15
1,3,3,3,5,1,1,4,2,3,2,14.5
1,3,3,4,5,1,1,4,1,3,1,15
1,3,4,1,5,1,1,3,1,1,1,15
1,3,4,2,5,1,1,3,2,1,2,15.5
1,3,4,3,5,1,1,3,2,1,2,16
1,3,4,4,5,1,1,3,1,1,1,15.5
1,1,1,1,6,1,1,3,2,1,2,14.5
1,1,1,2,6,1,1,3,1,1,1,15
1,1,1,3,6,1,1,3,2,1,2,15
1,1,1,4,6,1,1,3,1,1,1,15.5
1,1,2,1,6,1,1,1,1,2,1,14.5
1,1,2,2,6,1,1,1,2,2,2,14
1,1,2,3,6,1,1,1,1,2,1,14.5
1,1,2,4,6,1,1,1,2,2,2,13.5
1,1,3,1,6,1,1,2,1,4,1,15
1,1,3,2,6,1,1,2,1,4,1,14
1,1,3,3,6,1,1,2,2,4,2,14.5
1,1,3,4,6,1,1,2,2,4,2,13
1,1,4,1,6,1,1,4,1,3,1,15
1,1,4,2,6,1,1,4,2,3,2,14.5
1,1,4,3,6,1,1,4,1,3,1,15
1,1,4,4,6,1,1,4,2,3,2,14
1,2,1,1,6,1,2,3,2,3,2,15
1,2,1,2,6,1,2,3,1,3,1,15
1,2,1,3,6,1,2,3,2,3,2,15.5
1,2,1,4,6,1,2,3,1,3,1,15.5
1,2,2,1,6,1,2,4,2,1,2,15
1,2,2,2,6,1,2,4,2,1,2,14.5
1,2,2,3,6,1,2,4,1,1,1,15.5
1,2,2,4,6,1,2,4,1,1,1,13.5
1,2,3,1,6,1,2,2,2,2,2,13.5
1,2,3,2,6,1,2,2,1,2,1,15.5
1,2,3,3,6,1,2,2,1,2,1,14.5
1,2,3,4,6,1,2,2,2,2,2,15.5
1,2,4,1,6,1,2,1,1,4,1,14
1,2,4,2,6,1,2,1,1,4,1,13.5
1,2,4,3,6,1,2,1,2,4,2,15.5
1,2,4,4,6,1,2,1,2,4,2,16
1,3,1,1,6,1,3,1,2,3,2,15
1,3,1,2,6,1,3,1,1,3,1,14
1,3,1,3,6,1,3,1,1,3,1,14.5
1,3,1,4,6,1,3,1,2,3,2,15
1,3,2,1,6,1,3,2,2,1,2,14.5
1,3,2,2,6,1,3,2,2,1,2,15
1,3,2,3,6,1,3,2,1,1,1,15
1,3,2,4,6,1,3,2,1,1,1,14
1,3,3,1,6,1,3,4,2,4,2,14.5
1,3,3,2,6,1,3,4,1,4,1,15
1,3,3,3,6,1,3,4,1,4,1,14.5
1,3,3,4,6,1,3,4,2,4,2,15
1,3,4,1,6,1,3,3,2,2,2,14
1,3,4,2,6,1,3,3,1,2,1,14.5
1,3,4,3,6,1,3,3,2,2,2,13
1,3,4,4,6,1,3,3,1,2,1,14.5
2,1,1,1,1,2,3,4,2,2,2,15
2,1,1,2,1,2,3,4,2,2,2,13.5
2,1,1,3,1,2,3,4,1,2,1,13.5
2,1,1,4,1,2,3,4,1,2,1,14
2,1,2,1,1,2,3,1,2,1,2,14
2,1,2,2,1,2,3,1,2,1,2,15.5
2,1,2,3,1,2,3,1,1,1,1,14.5
2,1,2,4,1,2,3,1,1,1,1,14
2,1,3,1,1,2,3,2,1,4,1,14.5
2,1,3,2,1,2,3,2,2,4,2,15
2,1,3,3,1,2,3,2,1,4,1,15.5
2,1,3,4,1,2,3,2,2,4,2,15
2,1,4,1,1,2,3,3,1,3,1,16
2,1,4,2,1,2,3,3,2,3,2,14
2,1,4,3,1,2,3,3,2,3,2,15
2,1,4,4,1,2,3,3,1,3,1,15
2,2,1,1,1,2,2,4,1,3,1,15.5
2,2,1,2,1,2,2,4,2,3,2,14.5
2,2,1,3,1,2,2,4,1,3,1,16.5
2,2,1,4,1,2,2,4,2,3,2,17.5
2,2,2,1,1,2,2,1,1,2,1,15.5
2,2,2,2,1,2,2,1,2,2,2,16
2,2,2,3,1,2,2,1,2,2,2,15
2,2,2,4,1,2,2,1,1,2,1,16
2,2,3,1,1,2,2,3,2,4,2,15.5
2,2,3,2,1,2,2,3,2,4,2,15
2,2,3,3,1,2,2,3,1,4,1,16
2,2,3,4,1,2,2,3,1,4,1,16
2,2,4,1,1,2,2,2,2,1,2,16
2,2,4,2,1,2,2,2,1,1,1,15
2,2,4,3,1,2,2,2,2,1,2,16
2,2,4,4,1,2,2,2,1,1,1,15.5
2,3,1,1,1,2,1,3,2,2,2,15
2,3,1,2,1,2,1,3,1,2,1,15.5
2,3,1,3,1,2,1,3,1,2,1,15.5
2,3,1,4,1,2,1,3,2,2,2,15
2,3,2,1,1,2,1,2,1,3,1,16
2,3,2,2,1,2,1,2,2,3,2,15
2,3,2,3,1,2,1,2,2,3,2,14
2,3,2,4,1,2,1,2,1,3,1,15
2,3,3,1,1,2,1,1,2,4,2,14.5
2,3,3,2,1,2,1,1,1,4,1,14.5
2,3,3,3,1,2,1,1,1,4,1,14.5
2,3,3,4,1,2,1,1,2,4,2,16
2,3,4,1,1,2,1,4,2,1,2,15.5
2,3,4,2,1,2,1,4,1,1,1,14.5
2,3,4,3,1,2,1,4,2,1,2,15.5
2,3,4,4,1,2,1,4,1,1,1,14.5
2,1,1,1,2,2,1,3,1,2,1,15
2,1,1,2,2,2,1,3,2,2,2,15
2,1,1,3,2,2,1,3,1,2,1,14
2,1,1,4,2,2,1,3,2,2,2,16
2,1,2,1,2,2,1,2,2,3,2,15
2,1,2,2,2,2,1,2,1,3,1,15
2,1,2,3,2,2,1,2,1,3,1,16.5
2,1,2,4,2,2,1,2,2,3,2,16
2,1,3,1,2,2,1,1,2,4,2,15
2,1,3,2,2,2,1,1,1,4,1,14.5
2,1,3,3,2,2,1,1,1,4,1,15.5
2,1,3,4,2,2,1,1,2,4,2,15.5
2,1,4,1,2,2,1,4,1,1,1,14.5
2,1,4,2,2,2,1,4,2,1,2,15
2,1,4,3,2,2,1,4,1,1,1,14.5
2,1,4,4,2,2,1,4,2,1,2,15
2,2,1,1,2,2,3,1,1,1,1,15
2,2,1,2,2,2,3,1,2,1,2,15
2,2,1,3,2,2,3,1,1,1,1,14.5
2,2,1,4,2,2,3,1,2,1,2,14.5
2,2,2,1,2,2,3,4,2,2,2,14.5
2,2,2,2,2,2,3,4,2,2,2,14
2,2,2,3,2,2,3,4,1,2,1,14.5
2,2,2,4,2,2,3,4,1,2,1,14
2,2,3,1,2,2,3,2,2,4,2,14
2,2,3,2,2,2,3,2,1,4,1,14.5
2,2,3,3,2,2,3,2,2,4,2,15.5
2,2,3,4,2,2,3,2,1,4,1,15
2,2,4,1,2,2,3,3,1,3,1,15
2,2,4,2,2,2,3,3,2,3,2,14
2,2,4,3,2,2,3,3,1,3,1,15.5
2,2,4,4,2,2,3,3,2,3,2,14.5
2,3,1,1,2,2,2,1,2,2,2,14.5
2,3,1,2,2,2,2,1,1,2,1,14
2,3,1,3,2,2,2,1,2,2,2,15.5
2,3,1,4,2,2,2,1,1,2,1,15
2,3,2,1,2,2,2,4,1,3,1,15.5
2,3,2,2,2,2,2,4,2,3,2,15.5
2,3,2,3,2,2,2,4,1,3,1,14
2,3,2,4,2,2,2,4,2,3,2,14.5
2,3,3,1,2,2,2,3,2,4,2,15
2,3,3,2,2,2,2,3,1,4,1,15
2,3,3,3,2,2,2,3,1,4,1,14
2,3,3,4,2,2,2,3,2,4,2,15.5
2,3,4,1,2,2,2,2,1,1,1,14.5
2,3,4,2,2,2,2,2,2,1,2,15.5
2,3,4,3,2,2,2,2,2,1,2,15
2,3,4,4,2,2,2,2,1,1,1,14
2,1,1,1,3,2,2,3,2,4,2,14.5
2,1,1,2,3,2,2,3,2,4,2,16
2,1,1,3,3,2,2,3,1,4,1,15
2,1,1,4,3,2,2,3,1,4,1,14.5
2,1,2,1,3,2,2,2,2,1,2,15
2,1,2,2,3,2,2,2,1,1,1,14.5
2,1,2,3,3,2,2,2,1,1,1,15
2,1,2,4,3,2,2,2,2,1,2,15
2,1,3,1,3,2,2,1,2,2,2,14.5
2,1,3,2,3,2,2,1,1,2,1,14.5
2,1,3,3,3,2,2,1,1,2,1,15.5
2,1,3,4,3,2,2,1,2,2,2,14.5
2,1,4,1,3,2,2,4,2,3,2,16.5
2,1,4,2,3,2,2,4,1,3,1,14.5
2,1,4,3,3,2,2,4,2,3,2,15.5
2,1,4,4,3,2,2,4,1,3,1,15
2,2,1,1,3,2,1,1,2,4,2,15.5
2,2,1,2,3,2,1,1,2,4,2,15
2,2,1,3,3,2,1,1,1,4,1,15.5
2,2,1,4,3,2,1,1,1,4,1,14.5
2,2,2,1,3,2,1,4,1,1,1,14.5
2,2,2,2,3,2,1,4,2,1,2,15.5
2,2,2,3,3,2,1,4,2,1,2,15
2,2,2,4,3,2,1,4,1,1,1,15
2,2,3,1,3,2,1,2,1,3,1,15
2,2,3,2,3,2,1,2,2,3,2,14.5
2,2,3,3,3,2,1,2,2,3,2,15
2,2,3,4,3,2,1,2,1,3,1,15
2,2,4,1,3,2,1,3,1,2,1,14
2,2,4,2,3,2,1,3,2,2,2,14
2,2,4,3,3,2,1,3,2,2,2,15
2,2,4,4,3,2,1,3,1,2,1,15.5
2,3,1,1,3,2,3,1,1,1,1,14.5
2,3,1,2,3,2,3,1,2,1,2,14
2,3,1,3,3,2,3,1,2,1,2,14.5
2,3,1,4,3,2,3,1,1,1,1,14
2,3,2,1,3,2,3,4,1,2,1,15.5
2,3,2,2,3,2,3,4,2,2,2,14.5
2,3,2,3,3,2,3,4,2,2,2,15
2,3,2,4,3,2,3,4,1,2,1,14
2,3,3,1,3,2,3,3,1,3,1,16
2,3,3,2,3,2,3,3,2,3,2,15
2,3,3,3,3,2,3,3,1,3,1,14.5
2,3,3,4,3,2,3,3,2,3,2,14.5
2,3,4,1,3,2,3,2,1,4,1,15
2,3,4,2,3,2,3,2,2,4,2,15
2,3,4,3,3,2,3,2,2,4,2,14.5
2,3,4,4,3,2,3,2,1,4,1,14
2,1,1,1,4,2,3,3,2,3,2,16
2,1,1,2,4,2,3,3,1,3,1,16
2,1,1,3,4,2,3,3,1,3,1,14.5
2,1,1,4,4,2,3,3,2,3,2,14.5
2,1,2,1,4,2,3,2,1,4,1,15
2,1,2,2,4,2,3,2,2,4,2,15.5
2,1,2,3,4,2,3,2,2,4,2,15.5
2,1,2,4,4,2,3,2,1,4,1,16
2,1,3,1,4,2,3,1,1,1,1,16
2,1,3,2,4,2,3,1,2,1,2,15
2,1,3,3,4,2,3,1,2,1,2,15
2,1,3,4,4,2,3,1,1,1,1,15
2,1,4,1,4,2,3,4,1,2,1,16
2,1,4,2,4,2,3,4,2,2,2,14
2,1,4,3,4,2,3,4,1,2,1,15.5
2,1,4,4,4,2,3,4,2,2,2,14.5
2,2,1,1,4,2,2,1,1,2,1,15
2,2,1,2,4,2,2,1,1,2,1,16
2,2,1,3,4,2,2,1,2,2,2,16
2,2,1,4,4,2,2,1,2,2,2,15.5
2,2,2,1,4,2,2,4,2,3,2,17.5
2,2,2,2,4,2,2,4,1,3,1,16
2,2,2,3,4,2,2,4,1,3,1,16.5
2,2,2,4,4,2,2,4,2,3,2,17
2,2,3,1,4,2,2,2,2,1,2,16.5
2,2,3,2,4,2,2,2,1,1,1,15.5
2,2,3,3,4,2,2,2,2,1,2,15.5
2,2,3,4,4,2,2,2,1,1,1,15.5
2,2,4,1,4,2,2,3,2,4,2,15.5
2,2,4,2,4,2,2,3,2,4,2,15
2,2,4,3,4,2,2,3,1,4,1,15.5
2,2,4,4,4,2,2,3,1,4,1,15.5
2,3,1,1,4,2,1,1,2,4,2,14.5
2,3,1,2,4,2,1,1,1,4,1,14
2,3,1,3,4,2,1,1,2,4,2,15
2,3,1,4,4,2,1,1,1,4,1,14.5
2,3,2,1,4,2,1,4,2,1,2,15.5
2,3,2,2,4,2,1,4,1,1,1,14.5
2,3,2,3,4,2,1,4,2,1,2,15
2,3,2,4,4,2,1,4,1,1,1,13.5
2,3,3,1,4,2,1,3,2,2,2,13.5
2,3,3,2,4,2,1,3,1,2,1,14.5
2,3,3,3,4,2,1,3,1,2,1,15.5
2,3,3,4,4,2,1,3,2,2,2,13
2,3,4,1,4,2,1,2,2,3,2,14
2,3,4,2,4,2,1,2,1,3,1,14.5
2,3,4,3,4,2,1,2,1,3,1,15
2,3,4,4,4,2,1,2,2,3,2,14.5
2,1,1,1,5,2,1,4,1,1,1,14
2,1,1,2,5,2,1,4,2,1,2,15.5
2,1,1,3,5,2,1,4,1,1,1,14
2,1,1,4,5,2,1,4,2,1,2,16
2,1,2,1,5,2,1,1,2,4,2,15
2,1,2,2,5,2,1,1,1,4,1,15.5
2,1,2,3,5,2,1,1,2,4,2,15
2,1,2,4,5,2,1,1,1,4,1,16.5
2,1,3,1,5,2,1,2,1,3,1,15
2,1,3,2,5,2,1,2,2,3,2,15.5
2,1,3,3,5,2,1,2,1,3,1,15.5
2,1,3,4,5,2,1,2,2,3,2,16
2,1,4,1,5,2,1,3,2,2,2,14.5
2,1,4,2,5,2,1,3,1,2,1,13.5
2,1,4,3,5,2,1,3,1,2,1,16
2,1,4,4,5,2,1,3,2,2,2,14.5
2,2,1,1,5,2,3,4,2,2,2,15.5
2,2,1,2,5,2,3,4,2,2,2,14.5
2,2,1,3,5,2,3,4,1,2,1,16.5
2,2,1,4,5,2,3,4,1,2,1,16
2,2,2,1,5,2,3,1,2,1,2,15
2,2,2,2,5,2,3,1,1,1,1,16
2,2,2,3,5,2,3,1,2,1,2,15.5
2,2,2,4,5,2,3,1,1,1,1,15
2,2,3,1,5,2,3,3,2,3,2,15
2,2,3,2,5,2,3,3,1,3,1,15
2,2,3,3,5,2,3,3,2,3,2,15.5
2,2,3,4,5,2,3,3,1,3,1,15.5
2,2,4,1,5,2,3,2,2,4,2,15
2,2,4,2,5,2,3,2,1,4,1,15
2,2,4,3,5,2,3,2,2,4,2,16
2,2,4,4,5,2,3,2,1,4,1,16
2,3,1,1,5,2,2,3,1,4,1,15.5
2,3,1,2,5,2,2,3,2,4,2,15.5
2,3,1,3,5,2,2,3,1,4,1,14
2,3,1,4,5,2,2,3,2,4,2,15.5
2,3,2,1,5,2,2,2,2,1,2,15
2,3,2,2,5,2,2,2,2,1,2,15.5
2,3,2,3,5,2,2,2,1,1,1,15
2,3,2,4,5,2,2,2,1,1,1,14.5
2,3,3,1,5,2,2,1,2,2,2,14.5
2,3,3,2,5,2,2,1,1,2,1,15.5
2,3,3,3,5,2,2,1,1,2,1,14
2,3,3,4,5,2,2,1,2,2,2,14.5
2,3,4,1,5,2,2,4,1,3,1,16
2,3,4,2,5,2,2,4,1,3,1,14
2,3,4,3,5,2,2,4,2,3,2,15
2,3,4,4,5,2,2,4,2,3,2,16
2,1,1,1,6,2,2,4,2,3,2,15.5
2,1,1,2,6,2,2,4,1,3,1,15
2,1,1,3,6,2,2,4,2,3,2,14
2,1,1,4,6,2,2,4,1,3,1,15.5
2,1,2,1,6,2,2,1,1,2,1,16
2,1,2,2,6,2,2,1,2,2,2,14.5
2,1,2,3,6,2,2,1,1,2,1,15
2,1,2,4,6,2,2,1,2,2,2,16
2,1,3,1,6,2,2,2,1,1,1,15.5
2,1,3,2,6,2,2,2,2,1,2,16
2,1,3,3,6,2,2,2,1,1,1,15.5
2,1,3,4,6,2,2,2,2,1,2,16.5
2,1,4,1,6,2,2,3,1,4,1,15.5
2,1,4,2,6,2,2,3,1,4,1,15
2,1,4,3,6,2,2,3,2,4,2,15.5
2,1,4,4,6,2,2,3,2,4,2,16
2,2,1,1,6,2,1,4,1,1,1,15
2,2,1,2,6,2,1,4,2,1,2,16
2,2,1,3,6,2,1,4,2,1,2,14
2,2,1,4,6,2,1,4,1,1,1,15
2,2,2,1,6,2,1,1,1,4,1,15
2,2,2,2,6,2,1,1,1,4,1,15.5
2,2,2,3,6,2,1,1,2,4,2,15
2,2,2,4,6,2,1,1,2,4,2,15.5
2,2,3,1,6,2,1,3,2,2,2,13.5
2,2,3,2,6,2,1,3,2,2,2,15
2,2,3,3,6,2,1,3,1,2,1,14
2,2,3,4,6,2,1,3,1,2,1,13.5
