Judges,Tables,Occasions,Sessions,Glasses,Blocks,Plots,WineReps,Treatments,Score
2,2,1,6,5,2,1,6,1,11.5
2,2,1,6,6,2,2,6,2,17
2,2,1,6,7,2,3,6,3,15.5
2,2,1,6,8,2,4,6,4,13.5
2,2,2,1,1,1,1,4,1,16.5
2,2,2,1,2,1,2,4,2,16
2,2,2,1,3,1,3,4,3,17.5
2,2,2,1,4,1,4,4,4,16.5
2,2,2,1,5,2,1,4,1,15
2,2,2,1,6,2,2,4,2,13
2,2,2,1,7,2,3,4,3,17.5
2,2,2,1,8,2,4,4,4,16.5
2,2,2,2,1,1,1,5,1,16
2,2,2,2,2,1,2,5,2,17.5
2,2,2,2,3,1,3,5,3,19
2,2,2,2,4,1,4,5,4,17
2,2,2,2,5,2,1,5,1,18.5
2,2,2,2,6,2,2,5,2,16.5
2,2,2,2,7,2,3,5,3,15.5
2,2,2,2,8,2,4,5,4,16.5
2,2,2,3,1,1,1,6,1,14.5
2,2,2,3,2,1,2,6,2,11
2,2,2,3,3,1,3,6,3,15.5
2,2,2,3,4,1,4,6,4,11
2,2,2,3,5,2,1,6,1,15
2,2,2,3,6,2,2,6,2,13
2,2,2,3,7,2,3,6,3,16
2,2,2,3,8,2,4,6,4,17.5
2,2,2,4,1,1,1,1,1,16.5
2,2,2,4,2,1,2,1,2,15
2,2,2,4,3,1,3,1,3,15.5
2,2,2,4,4,1,4,1,4,13
2,2,2,4,5,2,1,1,1,17.5
2,2,2,4,6,2,2,1,2,14
2,2,2,4,7,2,3,1,3,14.5
2,2,2,4,8,2,4,1,4,14
2,2,2,5,1,1,1,2,1,15.5
2,2,2,5,2,1,2,2,2,15
2,2,2,5,3,1,3,2,3,17
2,2,2,5,4,1,4,2,4,15
2,2,2,5,5,2,1,2,1,16.5
2,2,2,5,6,2,2,2,2,15
2,2,2,5,7,2,3,2,3,15.5
2,2,2,5,8,2,4,2,4,15.5
2,2,2,6,1,1,1,3,1,17
2,2,2,6,2,1,2,3,2,16.5
2,2,2,6,3,1,3,3,3,16.5
2,2,2,6,4,1,4,3,4,15.5
2,2,2,6,5,2,1,3,1,15.5
2,2,2,6,6,2,2,3,2,18
2,2,2,6,7,2,3,3,3,16.5
2,2,2,6,8,2,4,3,4,14.5
3,3,1,1,1,1,1,1,1,16
3,3,1,1,2,1,2,1,2,14
3,3,1,1,3,1,3,1,3,17.5
3,3,1,1,4,1,4,1,4,16.5
3,3,1,1,5,2,1,1,1,14.5
3,3,1,1,6,2,2,1,2,14.5
3,3,1,1,7,2,3,1,3,17.5
3,3,1,1,8,2,4,1,4,15
3,3,1,2,1,1,1,2,1,19
3,3,1,2,2,1,2,2,2,18
3,3,1,2,3,1,3,2,3,16.5
3,3,1,2,4,1,4,2,4,14.5
3,3,1,2,5,2,1,2,1,15
3,3,1,2,6,2,2,2,2,17.5
3,3,1,2,7,2,3,2,3,15
3,3,1,2,8,2,4,2,4,14.5
3,3,1,3,1,1,1,3,1,13
3,3,1,3,2,1,2,3,2,12.5
3,3,1,3,3,1,3,3,3,13.5
3,3,1,3,4,1,4,3,4,15.5
3,3,1,3,5,2,1,3,1,12
3,3,1,3,6,2,2,3,2,14.5
3,3,1,3,7,2,3,3,3,12
3,3,1,3,8,2,4,3,4,13
3,3,1,4,1,1,1,4,1,18
3,3,1,4,2,1,2,4,2,16.5
3,3,1,4,3,1,3,4,3,17
3,3,1,4,4,1,4,4,4,15
3,3,1,4,5,2,1,4,1,13
3,3,1,4,6,2,2,4,2,14
3,3,1,4,7,2,3,4,3,15.5
3,3,1,4,8,2,4,4,4,14
3,3,1,5,1,1,1,5,1,14.5
3,3,1,5,2,1,2,5,2,13.5
3,3,1,5,3,1,3,5,3,16.5
3,3,1,5,4,1,4,5,4,15.5
3,3,1,5,5,2,1,5,1,17
3,3,1,5,6,2,2,5,2,14.5
3,3,1,5,7,2,3,5,3,16.5
3,3,1,5,8,2,4,5,4,14
3,3,1,6,1,1,1,6,1,16.5
3,3,1,6,2,1,2,6,2,17
3,3,1,6,3,1,3,6,3,17.5
3,3,1,6,4,1,4,6,4,15.5
3,3,1,6,5,2,1,6,1,15.5
3,3,1,6,6,2,2,6,2,18
3,3,1,6,7,2,3,6,3,16.5
3,3,1,6,8,2,4,6,4,15.5
3,3,2,1,1,1,1,4,1,15.5
3,3,2,1,2,1,2,4,2,16.5
3,3,2,1,3,1,3,4,3,17.5
3,3,2,1,4,1,4,4,4,16.5
3,3,2,1,5,2,1,4,1,14
3,3,2,1,6,2,2,4,2,15
3,3,2,1,7,2,3,4,3,16.5
3,3,2,1,8,2,4,4,4,18
3,3,2,2,1,1,1,5,1,18
3,3,2,2,2,1,2,5,2,17.5
3,3,2,2,3,1,3,5,3,18
3,3,2,2,4,1,4,5,4,16
3,3,2,2,5,2,1,5,1,14
3,3,2,2,6,2,2,5,2,19
3,3,2,2,7,2,3,5,3,16
3,3,2,2,8,2,4,5,4,15
3,3,2,3,1,1,1,6,1,16.5
3,3,2,3,2,1,2,6,2,16
3,3,2,3,3,1,3,6,3,15
3,3,2,3,4,1,4,6,4,13
3,3,2,3,5,2,1,6,1,12
3,3,2,3,6,2,2,6,2,14.5
3,3,2,3,7,2,3,6,3,15.5
3,3,2,3,8,2,4,6,4,18
3,3,2,4,1,1,1,1,1,18.5
3,3,2,4,2,1,2,1,2,16
3,3,2,4,3,1,3,1,3,17.5
3,3,2,4,4,1,4,1,4,14.5
3,3,2,4,5,2,1,1,1,13
3,3,2,4,6,2,2,1,2,17
3,3,2,4,7,2,3,1,3,16.5
3,3,2,4,8,2,4,1,4,16
3,3,2,5,1,1,1,2,1,14
3,3,2,5,2,1,2,2,2,15.5
3,3,2,5,3,1,3,2,3,16.5
3,3,2,5,4,1,4,2,4,17
3,3,2,5,5,2,1,2,1,14.5
3,3,2,5,6,2,2,2,2,15
3,3,2,5,7,2,3,2,3,14.5
3,3,2,5,8,2,4,2,4,15.5
3,3,2,6,1,1,1,3,1,16
3,3,2,6,2,1,2,3,2,16.5
3,3,2,6,3,1,3,3,3,17.5
3,3,2,6,4,1,4,3,4,15.5
3,3,2,6,5,2,1,3,1,13
3,3,2,6,6,2,2,3,2,17.5
3,3,2,6,7,2,3,3,3,15
3,3,2,6,8,2,4,3,4,15.5
4,4,1,1,1,1,1,1,1,15
4,4,1,1,2,1,2,1,2,15
4,4,1,1,3,1,3,1,3,18
4,4,1,1,4,1,4,1,4,18
4,4,1,1,5,2,1,1,1,15
4,4,1,1,6,2,2,1,2,17
4,4,1,1,7,2,3,1,3,16
4,4,1,1,8,2,4,1,4,16
4,4,1,2,1,1,1,2,1,16.5
4,4,1,2,2,1,2,2,2,18
4,4,1,2,3,1,3,2,3,17
4,4,1,2,4,1,4,2,4,15
4,4,1,2,5,2,1,2,1,15
4,4,1,2,6,2,2,2,2,18.5
4,4,1,2,7,2,3,2,3,15
4,4,1,2,8,2,4,2,4,16
4,4,1,3,1,1,1,3,1,16
4,4,1,3,2,1,2,3,2,13.5
4,4,1,3,3,1,3,3,3,15.5
4,4,1,3,4,1,4,3,4,14
4,4,1,3,5,2,1,3,1,14
4,4,1,3,6,2,2,3,2,14.5
4,4,1,3,7,2,3,3,3,14
4,4,1,3,8,2,4,3,4,15.5
4,4,1,4,1,1,1,4,1,18.5
4,4,1,4,2,1,2,4,2,15.5
4,4,1,4,3,1,3,4,3,16
4,4,1,4,4,1,4,4,4,14
4,4,1,4,5,2,1,4,1,13.5
4,4,1,4,6,2,2,4,2,17.5
4,4,1,4,7,2,3,4,3,14.5
4,4,1,4,8,2,4,4,4,15
4,4,1,5,1,1,1,5,1,15
4,4,1,5,2,1,2,5,2,16
4,4,1,5,3,1,3,5,3,14.5
4,4,1,5,4,1,4,5,4,13.5
4,4,1,5,5,2,1,5,1,13.5
4,4,1,5,6,2,2,5,2,15.5
4,4,1,5,7,2,3,5,3,16.5
4,4,1,5,8,2,4,5,4,16
4,4,1,6,1,1,1,6,1,16.5
4,4,1,6,2,1,2,6,2,17.5
4,4,1,6,3,1,3,6,3,16
4,4,1,6,4,1,4,6,4,13.5
4,4,1,6,5,2,1,6,1,13.5
4,4,1,6,6,2,2,6,2,17
4,4,1,6,7,2,3,6,3,17
4,4,1,6,8,2,4,6,4,14
4,4,2,1,1,1,1,4,1,13.5
4,4,2,1,2,1,2,4,2,16
4,4,2,1,3,1,3,4,3,14.5
4,4,2,1,4,1,4,4,4,16
4,4,2,1,5,2,1,4,1,12
4,4,2,1,6,2,2,4,2,15
4,4,2,1,7,2,3,4,3,15
4,4,2,1,8,2,4,4,4,18
4,4,2,2,1,1,1,5,1,18
4,4,2,2,2,1,2,5,2,16
4,4,2,2,3,1,3,5,3,18.5
4,4,2,2,4,1,4,5,4,17
4,4,2,2,5,2,1,5,1,14
4,4,2,2,6,2,2,5,2,16
4,4,2,2,7,2,3,5,3,14
4,4,2,2,8,2,4,5,4,15.5
4,4,2,3,1,1,1,6,1,13.5
4,4,2,3,2,1,2,6,2,13.5
4,4,2,3,3,1,3,6,3,14
4,4,2,3,4,1,4,6,4,17
4,4,2,3,5,2,1,6,1,10.5
4,4,2,3,6,2,2,6,2,13
4,4,2,3,7,2,3,6,3,15.5
4,4,2,3,8,2,4,6,4,14
4,4,2,4,1,1,1,1,1,18.5
4,4,2,4,2,1,2,1,2,16.5
4,4,2,4,3,1,3,1,3,15
4,4,2,4,4,1,4,1,4,14.5
4,4,2,4,5,2,1,1,1,13
4,4,2,4,6,2,2,1,2,17.5
4,4,2,4,7,2,3,1,3,15
4,4,2,4,8,2,4,1,4,16
4,4,2,5,1,1,1,2,1,13
4,4,2,5,2,1,2,2,2,14.5
4,4,2,5,3,1,3,2,3,17
4,4,2,5,4,1,4,2,4,16
4,4,2,5,5,2,1,2,1,13
4,4,2,5,6,2,2,2,2,16
4,4,2,5,7,2,3,2,3,15
4,4,2,5,8,2,4,2,4,15.5
4,4,2,6,1,1,1,3,1,15
4,4,2,6,2,1,2,3,2,16
4,4,2,6,3,1,3,3,3,17.5
4,4,2,6,4,1,4,3,4,14
4,4,2,6,5,2,1,3,1,12.5
4,4,2,6,6,2,2,3,2,16.5
4,4,2,6,7,2,3,3,3,16
4,4,2,6,8,2,4,3,4,16
5,5,1,1,1,1,1,1,1,16.5
5,5,1,1,2,1,2,1,2,15.5
5,5,1,1,3,1,3,1,3,18
5,5,1,1,4,1,4,1,4,17.5
5,5,1,1,5,2,1,1,1,15
5,5,1,1,6,2,2,1,2,14.5
5,5,1,1,7,2,3,1,3,15.5
5,5,1,1,8,2,4,1,4,15.5
5,5,1,2,1,1,1,2,1,18
5,5,1,2,2,1,2,2,2,16.5
5,5,1,2,3,1,3,2,3,18.5
5,5,1,2,4,1,4,2,4,14.5
5,5,1,2,5,2,1,2,1,14
5,5,1,2,6,2,2,2,2,16
5,5,1,2,7,2,3,2,3,14.5
5,5,1,2,8,2,4,2,4,14.5
5,5,1,3,1,1,1,3,1,14.5
5,5,1,3,2,1,2,3,2,16.5
5,5,1,3,3,1,3,3,3,15
5,5,1,3,4,1,4,3,4,14
5,5,1,3,5,2,1,3,1,13.5
5,5,1,3,6,2,2,3,2,13
5,5,1,3,7,2,3,3,3,13.5
5,5,1,3,8,2,4,3,4,16
5,5,1,4,1,1,1,4,1,18.5
5,5,1,4,2,1,2,4,2,17
5,5,1,4,3,1,3,4,3,17.5
5,5,1,4,4,1,4,4,4,*
5,5,1,4,5,2,1,4,1,13.5
5,5,1,4,6,2,2,4,2,16.5
5,5,1,4,7,2,3,4,3,16
5,5,1,4,8,2,4,4,4,13.5
5,5,1,5,1,1,1,5,1,15
5,5,1,5,2,1,2,5,2,15
5,5,1,5,3,1,3,5,3,16.5
5,5,1,5,4,1,4,5,4,14.5
5,5,1,5,5,2,1,5,1,13.5
5,5,1,5,6,2,2,5,2,16
5,5,1,5,7,2,3,5,3,16
5,5,1,5,8,2,4,5,4,14
5,5,1,6,1,1,1,6,1,17
5,5,1,6,2,1,2,6,2,16.5
5,5,1,6,3,1,3,6,3,17.5
5,5,1,6,4,1,4,6,4,14
5,5,1,6,5,2,1,6,1,13.5
5,5,1,6,6,2,2,6,2,17
5,5,1,6,7,2,3,6,3,15
5,5,1,6,8,2,4,6,4,14
5,5,2,1,1,1,1,4,1,14
5,5,2,1,2,1,2,4,2,16
5,5,2,1,3,1,3,4,3,17.5
5,5,2,1,4,1,4,4,4,16
5,5,2,1,5,2,1,4,1,14
5,5,2,1,6,2,2,4,2,13
5,5,2,1,7,2,3,4,3,17.5
5,5,2,1,8,2,4,4,4,17.5
5,5,2,2,1,1,1,5,1,19
5,5,2,2,2,1,2,5,2,16
5,5,2,2,3,1,3,5,3,16.5
5,5,2,2,4,1,4,5,4,18
5,5,2,2,5,2,1,5,1,14.5
5,5,2,2,6,2,2,5,2,14.5
5,5,2,2,7,2,3,5,3,15.5
5,5,2,2,8,2,4,5,4,14.5
5,5,2,3,1,1,1,6,1,15
5,5,2,3,2,1,2,6,2,13.5
5,5,2,3,3,1,3,6,3,14.5
5,5,2,3,4,1,4,6,4,13
5,5,2,3,5,2,1,6,1,14.5
5,5,2,3,6,2,2,6,2,13.5
5,5,2,3,7,2,3,6,3,16
5,5,2,3,8,2,4,6,4,17.5
5,5,2,4,1,1,1,1,1,17.5
5,5,2,4,2,1,2,1,2,17
5,5,2,4,3,1,3,1,3,16.5
5,5,2,4,4,1,4,1,4,15.5
5,5,2,4,5,2,1,1,1,18.5
5,5,2,4,6,2,2,1,2,13.5
5,5,2,4,7,2,3,1,3,13.5
5,5,2,4,8,2,4,1,4,13
5,5,2,5,1,1,1,2,1,15.5
5,5,2,5,2,1,2,2,2,16
5,5,2,5,3,1,3,2,3,15.5
5,5,2,5,4,1,4,2,4,14
5,5,2,5,5,2,1,2,1,15
5,5,2,5,6,2,2,2,2,15
5,5,2,5,7,2,3,2,3,16.5
5,5,2,5,8,2,4,2,4,14
5,5,2,6,1,1,1,3,1,16
5,5,2,6,2,1,2,3,2,15
5,5,2,6,3,1,3,3,3,18
5,5,2,6,4,1,4,3,4,12
5,5,2,6,5,2,1,3,1,15
5,5,2,6,6,2,2,3,2,16
5,5,2,6,7,2,3,3,3,17.5
5,5,2,6,8,2,4,3,4,15
6,6,1,1,1,1,1,1,1,16
6,6,1,1,2,1,2,1,2,18
6,6,1,1,3,1,3,1,3,17.5
6,6,1,1,4,1,4,1,4,16
6,6,1,1,5,2,1,1,1,14.5
6,6,1,1,6,2,2,1,2,14.5
6,6,1,1,7,2,3,1,3,16.5
6,6,1,1,8,2,4,1,4,15
6,6,1,2,1,1,1,2,1,18
6,6,1,2,2,1,2,2,2,15.5
6,6,1,2,3,1,3,2,3,17
6,6,1,2,4,1,4,2,4,15.5
6,6,1,2,5,2,1,2,1,19
6,6,1,2,6,2,2,2,2,15
6,6,1,2,7,2,3,2,3,14.5
6,6,1,2,8,2,4,2,4,16.5
6,6,1,3,1,1,1,3,1,14
6,6,1,3,2,1,2,3,2,13.5
6,6,1,3,3,1,3,3,3,14
6,6,1,3,4,1,4,3,4,11.5
6,6,1,3,5,2,1,3,1,15
6,6,1,3,6,2,2,3,2,13
6,6,1,3,7,2,3,3,3,17
6,6,1,3,8,2,4,3,4,16.5
6,6,1,4,1,1,1,4,1,17.5
6,6,1,4,2,1,2,4,2,15.5
6,6,1,4,3,1,3,4,3,17
6,6,1,4,4,1,4,4,4,13.5
6,6,1,4,5,2,1,4,1,18.5
6,6,1,4,6,2,2,4,2,14.5
6,6,1,4,7,2,3,4,3,16
6,6,1,4,8,2,4,4,4,14.5
6,6,1,5,1,1,1,5,1,14.5
6,6,1,5,2,1,2,5,2,13.5
6,6,1,5,3,1,3,5,3,14
6,6,1,5,4,1,4,5,4,15
6,6,1,5,5,2,1,5,1,17
6,6,1,5,6,2,2,5,2,15
6,6,1,5,7,2,3,5,3,17
6,6,1,5,8,2,4,5,4,16.5
6,6,1,6,1,1,1,6,1,15
6,6,1,6,2,1,2,6,2,16.5
6,6,1,6,3,1,3,6,3,15.5
6,6,1,6,4,1,4,6,4,13
6,6,1,6,5,2,1,6,1,14.5
6,6,1,6,6,2,2,6,2,16.5
6,6,1,6,7,2,3,6,3,17.5
6,6,1,6,8,2,4,6,4,14.5
6,6,2,1,1,1,1,4,1,16
6,6,2,1,2,1,2,4,2,16
6,6,2,1,3,1,3,4,3,18.5
6,6,2,1,4,1,4,4,4,14
6,6,2,1,5,2,1,4,1,14
6,6,2,1,6,2,2,4,2,16
6,6,2,1,7,2,3,4,3,17.5
6,6,2,1,8,2,4,4,4,17.5
6,6,2,2,1,1,1,5,1,17
6,6,2,2,2,1,2,5,2,16.5
6,6,2,2,3,1,3,5,3,19
6,6,2,2,4,1,4,5,4,14.5
6,6,2,2,5,2,1,5,1,14
6,6,2,2,6,2,2,5,2,16
6,6,2,2,7,2,3,5,3,15.5
6,6,2,2,8,2,4,5,4,15
6,6,2,3,1,1,1,6,1,13
6,6,2,3,2,1,2,6,2,15
6,6,2,3,3,1,3,6,3,14.5
6,6,2,3,4,1,4,6,4,16.5
6,6,2,3,5,2,1,6,1,12.5
6,6,2,3,6,2,2,6,2,14.5
6,6,2,3,7,2,3,6,3,16.5
6,6,2,3,8,2,4,6,4,17.5
6,6,2,4,1,1,1,1,1,14.5
6,6,2,4,2,1,2,1,2,17.5
6,6,2,4,3,1,3,1,3,18.5
6,6,2,4,4,1,4,1,4,13
6,6,2,4,5,2,1,1,1,15
6,6,2,4,6,2,2,1,2,18.5
6,6,2,4,7,2,3,1,3,15
6,6,2,4,8,2,4,1,4,14
6,6,2,5,1,1,1,2,1,14.5
6,6,2,5,2,1,2,2,2,17.5
6,6,2,5,3,1,3,2,3,14.5
6,6,2,5,4,1,4,2,4,15
6,6,2,5,5,2,1,2,1,14.5
6,6,2,5,6,2,2,2,2,14
6,6,2,5,7,2,3,2,3,16.5
6,6,2,5,8,2,4,2,4,15
6,6,2,6,1,1,1,3,1,16.5
6,6,2,6,2,1,2,3,2,17
6,6,2,6,3,1,3,3,3,17
6,6,2,6,4,1,4,3,4,14
6,6,2,6,5,2,1,3,1,12.5
6,6,2,6,6,2,2,3,2,17.5
6,6,2,6,7,2,3,3,3,15.5
6,6,2,6,8,2,4,3,4,14
